Nome,Sobrenome,Email,Cidade,Estado
Yasmin,Rodrigues,YasminFerreiraRodrigues@dayrep.com,Cascavel,PR
Cauã,Oliveira,CauaCarvalhoOliveira@fleckens.hu,São José do Rio Preto,SP
Renan,Cardoso,RenanOliveiraCardoso@teleworm.us,Criciúma,SC
Breno,Fernandes,BrenoOliveiraFernandes@rhyta.com,Feira de Santana,BA
Miguel,Rodrigues,MiguelGoncalvesRodrigues@superrito.com,Rio de Janeiro,RJ
Luiza,Cavalcanti,LuizaCorreiaCavalcanti@fleckens.hu,Belo Horizonte,MG
Kauan,Rocha,KauanGomesRocha@rhyta.com,Manaus,AM
Evelyn,Castro,EvelynMartinsCastro@rhyta.com,Manaus,AM
Julieta,Sousa,JulietaCavalcantiSousa@einrot.com,Belford Roxo,RJ
Eduardo,Araujo,EduardoRibeiroAraujo@rhyta.com,Natal,RN
Luís,Santos,LuisGoncalvesSantos@jourrapide.com,Guará,DF
Alice,Cavalcanti,AliceAlmeidaCavalcanti@einrot.com,Goiânia,GO
Larissa,Barros,LarissaMartinsBarros@superrito.com,Teresina,PI
Estevan,Silva,EstevanAlvesSilva@fleckens.hu,Jaboticabal,SP
Vinicius,Rocha,ViniciusLimaRocha@teleworm.us,Fortaleza,CE
Gabrielle,Sousa,GabrielleAraujoSousa@cuvox.de,Alagoinhas,BA
Aline,Gomes,AlineSilvaGomes@teleworm.us,Brasília,DF
Luana,Gomes,LuanaBarbosaGomes@einrot.com,Rondonópolis,MT
Rebeca,Costa,RebecaRodriguesCosta@fleckens.hu,Betim,MG
João,Ferreira,JoaoRodriguesFerreira@rhyta.com,São Paulo,SP
Carlos,Silva,CarlosCorreiaSilva@superrito.com,Paragominas,PA
Renan,Barros,RenanGomesBarros@superrito.com,Campinas,SP
Alex,Souza,AlexFerreiraSouza@gustr.com,Nova Friburgo,RJ
Luis,Rocha,LuisCorreiaRocha@einrot.com,Arapiraca,AL
Rafaela,Fernandes,RafaelaSousaFernandes@einrot.com,São Bernardo do Campo,SP
Diogo,Correia,DiogoRochaCorreia@dayrep.com,João Pessoa,PB
Vinícius,Araujo,ViniciusLimaAraujo@cuvox.de,Cambé,PR
Victor,Rocha,VictorCastroRocha@teleworm.us,Belém,PA
Rafaela,Oliveira,RafaelaFerreiraOliveira@gustr.com,Cruz Alta,RS
Marisa,Araujo,MarisaDiasAraujo@rhyta.com,Campos dos Goytacazes,RJ
Paulo,Cavalcanti,PauloBarrosCavalcanti@rhyta.com,Salvador,BA
Júlia,Souza,JuliaCavalcantiSouza@gustr.com,Bauru,SP
Sarah,Cunha,SarahAlvesCunha@teleworm.us,Goiânia,GO
Ana,Silva,AnaSantosSilva@rhyta.com,João Pessoa,PB
Amanda,Pinto,AmandaDiasPinto@rhyta.com,Rio de Janeiro,RJ
Brenda,Dias,BrendaCorreiaDias@fleckens.hu,João Pessoa,PB
Miguel,Barros,MiguelSouzaBarros@jourrapide.com,Varginha,MG
Leonardo,Araujo,LeonardoGoncalvesAraujo@jourrapide.com,Cotia,SP
Nicole,Ribeiro,NicoleMartinsRibeiro@jourrapide.com,Jundiaí,SP
Melissa,Santos,MelissaCavalcantiSantos@armyspy.com,Palmas,TO
Davi,Ferreira,DaviBarrosFerreira@einrot.com,Coronel Fabriciano,MG
Maria,Sousa,MariaFernandesSousa@fleckens.hu,Itu,SP
Bianca,Almeida,BiancaDiasAlmeida@jourrapide.com,Ribeirão Preto,SP
Rafael,Barbosa,RafaelAlmeidaBarbosa@gustr.com,São Bernardo do Campo,SP
Leonardo,Melo,LeonardoAlvesMelo@einrot.com,Volta Redonda,RJ
Beatrice,Silva,BeatriceCarvalhoSilva@armyspy.com,Santana de Parnaíba,SP
Kai,Castro,KaiFerreiraCastro@teleworm.us,Rio de Janeiro,RJ
Rafael,Martins,RafaelFerreiraMartins@cuvox.de,Franco da Rocha,SP
Emily,Correia,EmilyRibeiroCorreia@superrito.com,Itaúna,MG
Luan,Carvalho,LuanOliveiraCarvalho@dayrep.com,Piracicaba,SP
Julian,Goncalves,JulianSilvaGoncalves@teleworm.us,Duque de Caxias,RJ
Nicolas,Ferreira,NicolasMartinsFerreira@dayrep.com,Araraquara,SP
Vinicius,Carvalho,ViniciusMeloCarvalho@fleckens.hu,Guaratinguetá,SP
Murilo,Melo,MuriloFerreiraMelo@armyspy.com,Ourinhos,SP
Guilherme,Barros,GuilhermeAlvesBarros@teleworm.us,Blumenau,SC
Kai,Alves,KaiCorreiaAlves@superrito.com,Carapicuíba,SP
Carlos,Melo,CarlosOliveiraMelo@fleckens.hu,São Paulo,SP
Miguel,Souza,MiguelOliveiraSouza@teleworm.us,Araxá,MG
Breno,Araujo,BrenoLimaAraujo@jourrapide.com,Salvador,BA
Nicolas,Azevedo,NicolasCostaAzevedo@dayrep.com,São Vicente,SP
Alex,Lima,AlexCorreiaLima@jourrapide.com,Belo Horizonte,MG
Ana,Almeida,AnaPereiraAlmeida@gustr.com,Uberlândia,MG
Kauê,Lima,KaueMeloLima@armyspy.com,Rio de Janeiro,RJ
Thiago,Barbosa,ThiagoCavalcantiBarbosa@teleworm.us,Aparecida de Goiânia,GO
Lara,Castro,LaraPintoCastro@superrito.com,Itabuna,BA
Emily,Dias,EmilyOliveiraDias@teleworm.us,Duque de Caxias,RJ
Kauê,Oliveira,KaueRibeiroOliveira@rhyta.com,Americana,SP
Vinicius,Pereira,ViniciusCardosoPereira@fleckens.hu,Anápolis,GO
Leonardo,Fernandes,LeonardoLimaFernandes@gustr.com,Franca,SP
Melissa,Sousa,MelissaPintoSousa@dayrep.com,Porto Alegre,RS
Guilherme,Azevedo,GuilhermeFernandesAzevedo@rhyta.com,Resende,RJ
Kauã,Gomes,KauaPintoGomes@rhyta.com,São Gonçalo,RJ
Renan,Costa,RenanCorreiaCosta@superrito.com,Cambé,PR
Luan,Fernandes,LuanCarvalhoFernandes@superrito.com,Sorocaba,SP
Sarah,Fernandes,SarahDiasFernandes@superrito.com,Mossoró,RN
Clara,Barbosa,ClaraCorreiaBarbosa@gustr.com,Belford Roxo,RJ
Brenda,Gomes,BrendaAzevedoGomes@dayrep.com,São Paulo,SP
Maria,Gomes,MariaBarbosaGomes@teleworm.us,Ceilândia,DF
Lucas,Souza,LucasAzevedoSouza@gustr.com,Goiânia,GO
Samuel,Ferreira,SamuelLimaFerreira@dayrep.com,Uberlândia,MG
Paulo,Martins,PauloSousaMartins@superrito.com,Santo Ângelo,RS
Marisa,Souza,MarisaPereiraSouza@gustr.com,Nova Iguaçu,RJ
